frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
63,62,223,1,2761464420,-4.801916,-0.042166,0.000000,-0.042166,0.042166,0.022792,612,0,-22.947028,-22.923791,21.559583,21.356774,21.359154,0.000000,0.000210,0.000000,0.000000,0.022667,0.025042,1.267167,637,8040863,145090,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
64,63,225,1,2769572520,0.035917,-0.051916,0.000041,-0.051875,0.051875,0.044375,619,2,-0.822083,-0.815500,11.845500,11.779121,6.552414,0.000000,5.270375,5.249764,0.020569,0.024792,0.029167,0.610500,639,8138118,142764,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
65,64,227,1,2777680620,-4.881084,-0.056709,0.000042,-0.056667,0.056667,0.030625,617,0,-22.422417,-22.415834,21.600334,21.464098,21.461975,0.000000,0.000209,0.000000,0.000000,0.030458,0.020000,1.058125,649,8086983,140525,0,302,0,302,0,0,0,0,0,0,23098,14400,4680,4018,0
66,65,229,1,2785788720,0.104417,-0.064958,0.000208,-0.064750,0.064750,0.166083,618,2,-0.753583,-0.753458,11.697833,11.736580,6.532872,0.000000,5.205083,5.179431,0.025611,0.038750,0.142167,0.293291,638,8199928,144389,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
67,66,231,1,2793896820,-5.159792,-0.043000,0.000250,-0.042750,0.042750,0.039791,610,0,-22.701125,-22.701000,21.947542,21.713700,21.696807,0.000000,0.000123,0.000000,0.000000,0.039541,0.010209,1.054668,635,8009996,138695,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
68,67,233,1,2802004920,0.089458,-0.066583,0.000041,-0.066542,0.066542,0.089583,616,2,-0.768542,-0.768417,11.434083,11.376330,7.088836,0.000000,4.866874,4.857763,0.009028,0.023500,0.084792,0.565041,643,8153356,134566,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
69,68,235,1,2810113020,-4.712333,-0.033083,0.000208,-0.032875,0.032875,0.050000,614,0,-22.253667,-22.253542,21.485125,21.346987,21.251739,0.000000,0.000208,0.000000,0.000000,0.049750,0.017292,0.909375,639,8056302,140847,0,302,0,302,0,0,0,0,0,0,21312,14400,3510,3402,0
70,69,237,1,2818221120,0.103208,-0.036000,0.000083,-0.035917,0.035917,0.107833,614,2,-0.754792,-0.754625,11.867792,11.829827,6.639219,0.000000,5.237750,5.220722,0.016945,0.031583,0.113583,0.712625,639,8122783,132773,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
71,70,239,1,2826329220,-5.089250,-0.064416,0.000041,-0.064375,0.064375,0.040042,617,0,-22.630583,-22.630416,21.875791,21.680456,21.652951,0.000000,0.000167,0.000000,0.000000,0.039875,0.017542,0.822292,644,8102392,141325,0,302,0,302,0,0,0,0,0,0,21527,14400,3654,3473,0
72,71,241,1,2834437320,0.095750,-0.059292,0.000042,-0.059250,0.059250,0.151875,617,2,-0.762250,-0.757667,11.498334,11.502567,6.549334,0.000000,5.021293,5.013390,0.007861,0.023083,0.141625,0.446208,637,8169002,137861,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
