frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other
17598,16.911000,16.777944,11.561179,0.000000,5.226458,5.189347,0.036695,0.073292,0.016833,1.249458,626,8002963,147340,0,5408,0,2,5406,0,3510,1896,0,0
17599,16.911333,16.805246,11.107298,0.000000,5.659375,5.539514,0.119528,0.076375,0.020625,0.609875,641,8071045,144787,0,7210,0,2,7208,0,4680,2528,0,0
17600,16.461750,16.346539,11.263491,0.000000,5.098917,5.091264,0.006945,0.064750,0.017000,0.948208,632,8095586,144829,0,5408,0,2,5406,0,3510,1896,0,0
17601,16.667459,16.504361,10.935301,0.000000,5.549542,5.454513,0.094737,0.064333,0.013458,1.077542,632,8049367,142957,0,5408,0,2,5406,0,3510,1896,0,0
17602,16.700291,16.606469,11.019036,0.000000,5.581667,5.480181,0.101028,0.073542,0.038458,0.461209,642,8086452,144967,0,7210,0,2,7208,0,4680,2528,0,0
17603,16.707584,16.602754,11.193588,0.000000,5.414751,5.344514,0.069695,0.068041,0.016584,0.783708,630,8095689,144911,0,5408,0,2,5406,0,3510,1896,0,0
17604,16.659416,16.512402,10.883264,0.000000,5.651124,5.533013,0.117778,0.057209,0.012125,0.613791,630,8065105,143235,0,5408,0,2,5406,0,3510,1896,0,0
17605,16.639209,16.551056,10.825718,0.000000,5.747626,5.611431,0.135944,0.067333,0.011375,1.058291,640,8070646,144195,0,7210,0,2,7208,0,4680,2528,0,0
17606,16.716416,16.589451,11.193453,0.000000,5.398084,5.331639,0.066195,0.059667,0.033208,0.643125,634,8080220,145617,0,5408,0,2,5406,0,3510,1896,0,0
17607,16.717917,16.584127,11.172823,0.000000,5.410416,5.341347,0.068778,0.058792,0.021125,0.911374,632,8082221,144601,0,5408,0,2,5406,0,3510,1896,0,0
17608,16.605250,16.474571,11.064287,0.000000,5.394085,5.324181,0.069528,0.061333,0.013167,1.250625,638,8053581,144333,0,7210,0,2,7208,0,4680,2528,0,0
17609,16.691667,16.613958,11.236705,0.000000,5.370751,5.313806,0.056737,0.072375,0.032916,0.460958,633,8095708,145626,0,5408,0,2,5406,0,3510,1896,0,0
17610,16.759416,16.630380,11.033708,0.000000,5.609667,5.502555,0.106820,0.058250,0.058000,1.072292,632,8095727,144653,0,5408,0,2,5406,0,3510,1896,0,0
17611,16.661042,16.535633,11.036623,0.000000,5.502625,5.413389,0.088861,0.074708,0.021417,0.447750,639,8055575,144809,0,7210,0,2,7208,0,4680,2528,0,0
17612,16.552208,16.438751,11.767093,0.000000,5.438083,5.437555,0.000153,0.060542,0.019000,0.778709,631,8080234,143961,0,5408,0,2,5406,0,3510,1896,0,0
17613,16.738417,16.621996,12.141630,0.000000,5.438917,5.438513,0.000195,0.081792,0.031041,0.360792,631,8080443,145725,0,5408,0,2,5406,0,3510,1896,0,0
17614,16.784208,16.655465,11.075411,0.000000,5.587291,5.484722,0.102194,0.067084,0.046958,0.933625,640,8070825,144936,0,7210,0,2,7208,0,4680,2528,0,0
17615,16.662250,16.546522,11.222502,0.000000,5.330834,5.278014,0.052528,0.064459,0.043416,0.326458,633,8080100,145132,0,5408,0,2,5406,0,3510,1896,0,0
17616,16.668167,16.569198,11.614081,0.000000,5.387417,5.377763,0.009320,0.080792,0.035375,0.747375,634,8095712,144237,0,5408,0,2,5406,0,3510,1896,0,0
17617,16.653875,16.516702,12.069243,0.000000,5.101082,5.100514,0.000277,0.073667,0.016041,0.668167,640,8055458,144864,0,7210,0,2,7208,0,4680,2528,0,0
17618,16.676333,16.558194,11.309336,0.000000,5.223708,5.194222,0.029236,0.062834,0.013625,0.302041,631,8080227,145298,0,5408,0,2,5406,0,3510,1896,0,0
17619,16.706834,16.585036,11.111580,0.000000,5.495043,5.457722,0.037112,0.063000,0.013291,1.332292,633,8080230,143863,0,5408,0,2,5406,0,3510,1896,0,0
17620,16.676958,16.581460,11.126592,0.000000,5.453459,5.377056,0.076028,0.063625,0.058250,0.642458,642,8086457,145064,0,7210,0,2,7208,0,4680,2528,0,0
17621,16.759833,16.613012,11.160330,0.000000,5.475458,5.377555,0.097570,0.081250,0.012750,0.958084,630,8064852,145606,0,5408,0,2,5406,0,3510,1896,0,0
17622,16.628500,16.499799,11.127329,0.000000,5.362416,5.305055,0.057028,0.056084,0.010666,0.636875,631,8080302,144669,0,5408,0,2,5406,0,3510,1896,0,0
17623,16.615709,16.500006,11.098789,0.000000,5.350750,5.297681,0.052652,0.070958,0.014375,0.943750,642,8070784,144836,0,7210,0,2,7208,0,4680,2528,0,0
17624,16.788208,16.687329,11.254985,0.000000,5.458583,5.362138,0.096195,0.069125,0.018667,0.908083,633,8095800,145409,0,5408,0,2,5406,0,3510,1896,0,0
17625,16.993583,16.937009,11.315079,0.000000,5.566833,5.462972,0.103487,0.146750,0.023417,0.639917,634,8080148,144034,0,5408,0,2,5406,0,3510,1896,0,0
17626,16.328042,16.150967,11.597970,0.000000,4.644501,4.634348,0.009861,0.089250,0.016083,0.714334,638,8050000,145644,0,7210,0,2,7208,0,4680,2528,0,0
17627,16.686750,16.537684,11.495887,0.000000,5.035375,5.015597,0.019611,0.069792,0.015291,0.610416,633,8085735,145203,0,5408,0,2,5406,0,3510,1896,0,0
17628,16.721292,16.619212,11.076212,0.000000,5.562459,5.441347,0.120695,0.075791,0.019875,1.248417,632,8080260,144273,0,5408,0,2,5406,0,3510,1896,0,0
17629,16.664291,16.532677,11.276796,0.000000,5.261834,5.204723,0.056944,0.081042,0.013333,0.303416,639,8071027,146726,0,7210,0,2,7208,0,4680,2528,0,0
17630,16.688250,16.579008,11.572083,0.000000,5.079792,5.072597,0.006903,0.077042,0.028375,0.940208,632,8095744,148970,0,5408,0,2,5406,0,3510,1896,0,0
